train/learning_rate,train/value_loss,train/reward,train/entropy_loss,train/policy_loss,train/std,time/fps,time/time_elapsed,time/total_timesteps,train/n_updates,train/explained_variance,time/iterations
0.0007,20.48074722290039,1.824613,-51.14049530029297,-227.32980346679688,1.0017297267913818,134,3,500,99,0.03700178861618042,100
0.0007,0.17194022238254547,-0.07212722,-51.16518783569336,9.911284446716309,1.0024988651275635,139,7,1000,199,-0.6493741273880005,200
0.0007,0.8917530179023743,0.35522026,-51.237937927246094,43.037071228027344,1.0046145915985107,146,10,1500,299,-0.005352973937988281,300
0.0007,0.09603004157543182,0.003488995,-51.31169891357422,4.572804927825928,1.0067352056503296,147,13,2000,399,-1.1920928955078125e-07,400
0.0007,0.9271257519721985,-0.10287728,-51.3500862121582,7.908989906311035,1.0079587697982788,147,16,2500,499,-0.7960470914840698,500
0.0007,1.0314480066299438,-0.20433398,-51.375450134277344,1.4337190389633179,1.0086286067962646,148,20,3000,599,1.1920928955078125e-07,600
0.0007,23.579586029052734,-0.29559195,-51.4117546081543,-238.0043487548828,1.0095081329345703,147,23,3500,699,-1.1920928955078125e-07,700
0.0007,0.18890756368637085,-1.3828406,-51.47631072998047,8.201358795166016,1.0113885402679443,148,27,4000,799,0.0,800
0.0007,0.798491358757019,-0.19541985,-51.53916549682617,0.22704391181468964,1.0132335424423218,147,30,4500,899,-1.1920928955078125e-07,900
0.0007,3.937746524810791,0.24035,-51.58073043823242,-95.37215423583984,1.0143895149230957,147,34,5000,999,-0.011482834815979004,1000
0.0007,85.4691390991211,2.838295,-51.587669372558594,470.0326232910156,1.0145622491836548,146,37,5500,1099,-2.384185791015625e-07,1100
0.0007,3.4013760089874268,-0.18986264,-51.61626434326172,88.8610610961914,1.015213131904602,146,41,6000,1199,0.0,1200
0.0007,0.04332468658685684,-0.33136,-51.77097702026367,-9.354815483093262,1.019936203956604,145,44,6500,1299,1.7881393432617188e-07,1300
0.0007,0.009002194739878178,0.58972,-51.859283447265625,-1.7072689533233643,1.0226664543151855,145,48,7000,1399,0.0,1400
0.0007,0.20832455158233643,0.19249,-51.93560028076172,-21.639537811279297,1.0245938301086426,143,52,7500,1499,-1.1920928955078125e-07,1500
0.0007,1.1641162633895874,-1.5627893,-51.90632247924805,37.691463470458984,1.023746371269226,140,57,8000,1599,0.0,1600
0.0007,3.814690351486206,-0.8794738,-52.012664794921875,74.39883422851562,1.0266426801681519,137,61,8500,1699,0.023145675659179688,1700
0.0007,0.8363243341445923,0.26807,-52.01018524169922,-32.20671844482422,1.0266050100326538,136,65,9000,1799,1.1920928955078125e-07,1800
0.0007,15.859733581542969,6.2717986,-52.06774139404297,-104.14161682128906,1.028335452079773,136,69,9500,1899,-1.1920928955078125e-07,1900
0.0007,9.721466064453125,-0.70374,-52.087318420410156,-171.06491088867188,1.028714656829834,136,73,10000,1999,0.0,2000
0.0007,35.98573303222656,5.472015,-52.07616424560547,-289.65106201171875,1.0287644863128662,136,76,10500,2099,1.1920928955078125e-07,2100
0.0007,1.6822412014007568,0.40424,-52.055397033691406,-64.85487365722656,1.0280218124389648,135,81,11000,2199,-0.045604825019836426,2200
0.0007,0.9937647581100464,-0.00536,-52.06801223754883,26.422719955444336,1.028437852859497,135,85,11500,2299,0.0,2300
0.0007,6.848952293395996,-0.6561006,-52.10954666137695,-117.08980560302734,1.029482126235962,135,88,12000,2399,-0.08373081684112549,2400
0.0007,20.819995880126953,0.53335,-52.112701416015625,-221.78048706054688,1.0298559665679932,135,92,12500,2499,1.1920928955078125e-07,2500
0.0007,8.700164794921875,-0.24182,-52.1989860534668,-146.22169494628906,1.0322823524475098,134,96,13000,2599,-1.1920928955078125e-07,2600
0.0007,1.4711788892745972,0.53086,-52.198150634765625,63.8367805480957,1.032363772392273,133,101,13500,2699,0.09290808439254761,2700
0.0007,0.8338548541069031,1.41321,-52.22669219970703,40.92665481567383,1.032930612564087,132,105,14000,2799,0.039929330348968506,2800
0.0007,0.8815934062004089,-0.77486,-52.17396926879883,-48.184654235839844,1.0314526557922363,131,109,14500,2899,1.7881393432617188e-07,2900
0.0007,6.332884788513184,1.95115,-52.18743133544922,-27.160009384155273,1.0322942733764648,131,113,15000,2999,0.0,3000
0.0007,0.004113433416932821,-4.3e-07,-52.240684509277344,2.88883638381958,1.0336250066757202,131,117,15500,3099,1.7881393432617188e-07,3100
0.0007,51.87070846557617,1.46948,-52.292877197265625,341.3149719238281,1.0351742506027222,130,122,16000,3199,0.0,3200
0.0007,2.661468267440796,1.2012465,-52.363494873046875,80.91627502441406,1.0372974872589111,130,126,16500,3299,0.0,3300
0.0007,0.5976189970970154,-0.68585,-52.467308044433594,25.264904022216797,1.0400248765945435,130,129,17000,3399,0.0,3400
0.0007,1.4271519184112549,0.44104,-52.5078239440918,56.85687255859375,1.0412547588348389,130,133,17500,3499,-1.1920928955078125e-07,3500
0.0007,0.49967068433761597,0.8088,-52.579505920410156,-32.21452331542969,1.043556809425354,130,137,18000,3599,-0.03672206401824951,3600
0.0007,101.912353515625,-5.8960404,-52.5970344543457,237.6942901611328,1.044089436531067,130,141,18500,3699,-1.1920928955078125e-07,3700
0.0007,0.45818573236465454,0.18077,-52.6021842956543,-24.18381118774414,1.044130802154541,130,145,19000,3799,-0.049526214599609375,3800
0.0007,0.3905491232872009,-0.045070976,-52.7225341796875,-29.551467895507812,1.0477242469787598,130,149,19500,3899,0.0,3900
0.0007,0.3275112807750702,-0.01173,-52.867897033691406,-28.855327606201172,1.051950216293335,130,152,20000,3999,-1.1920928955078125e-07,4000
