,initial_value,final_value,annual_return,sharpe_ratio,sortino_ratio,max_drawdown
a2c,2000000.0,2076236.9929999975,1.2548053279989535,1.2651821026225572e-05,179.56778371964435,-353610.00000000047
ddpg,2000000.0,2179865.1059,2.9121239031703716,2.5673636678103186e-05,388.705489565926,-368295.3999999999
td3,2000000.0,2296851.92825,4.7211334648523895,2.4800763507890415e-05,608.8580356611948,-515333.1000000001
ppo,2000000.0,2355271.7206000006,5.60156164890504,2.6816299279331303e-05,557.9719884720539,-604434.2628000001
sac,2000000.0,2122458.1940999995,2.0006759230487114,1.8358206357592356e-05,202.68057344013363,-294385.80825000023
mvo,2053987.9158004432,2077495.588076144,0.38005022756510964,3.2266803786724494e-06,31.166531027986093,-402250.40411073295
