,initial_value,final_value,annual_return,sharpe_ratio,sortino_ratio,max_drawdown
a2c,2008024.0137443752,4069195.4937267518,26.545454773615962,3.464704438629968e-05,2074.2013223099916,-1091892.5082940334
ddpg,2012064.052088837,3961118.1379862367,25.33104604268439,3.830817110439027e-05,2566.9297843568165,-688811.7653198242
td3,2026042.5193258286,3658942.3403573455,21.778046607200906,2.783451262027525e-05,2128.3150568682195,-1506727.7481689453
ppo,2001073.990327347,4112425.9756041397,27.138860742662718,2.9241355205443394e-05,2518.9769176343275,-1103545.9545135503
sac,2015433.2019547045,2768134.4858450918,11.15771031241064,3.534613236115532e-05,988.7250353006297,-705493.7225222774
mvo,2028232.2629392615,3221874.20204493,16.68014609408084,3.5568905172990845e-05,1795.2739644293758,-634253.2082675598
