,initial_value,final_value,annual_return,sharpe_ratio,sortino_ratio,max_drawdown
a2c,2000000.0,3296463.2181299957,18.12434486545751,3.7834438979396904e-05,978.2360916054594,-1494927.7115999998
ddpg,2000000.0,3120977.5890300013,15.989911789025246,3.72539613530199e-05,948.9462969608978,-1217036.5699999998
td3,2000000.0,2829803.94148,12.26441487926866,4.1088705316871873e-05,704.2113618524259,-1149355.28
ppo,2000000.0,2250218.013645003,4.007550204521926,1.6477194520824068e-05,321.0943518969832,-990153.175959999
sac,2000000.0,3694236.257495001,22.696325561262242,4.2970592775081506e-05,1397.2692309702863,-1268835.2828000006
mvo,2012918.8668272812,4106477.918975474,26.827784831078926,4.611925364775381e-05,1538.4076380142772,-1581064.8603773788
