time/time_elapsed,time/total_timesteps,train/reward,time/iterations,time/fps,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/entropy_loss,train/std,train/loss,train/value_loss,train/clip_range,train/n_updates,train/explained_variance
12,2048,-0.04746731,1,163,,,,,,,,,,,
24,4096,-0.01606722,2,167,-0.028006522654322907,0.233447265625,0.00025,0.021491991,-51.08847992420196,1.0006253719329834,42.28355407714844,67.17518697977066,0.2,10,0.012462735176086426
36,6144,-0.43653584,3,170,-0.0256998371478403,0.234228515625,0.00025,0.022852154,-51.16507964134216,1.0042872428894043,28.294116973876953,36.10753768086433,0.2,20,0.20131593942642212
48,8192,0.1707748,4,167,-0.022742490665405058,0.17919921875,0.00025,0.017960466,-51.285232877731325,1.0073037147521973,34.504669189453125,60.61184872984886,0.2,30,0.25214409828186035
60,10240,0.022227544,5,168,-0.02290519357920857,0.2525390625,0.00025,0.023177167,-51.40882093906403,1.0110740661621094,13.79963207244873,27.046898144483567,0.2,40,0.2969370484352112
72,12288,0.12171189,6,169,-0.021397183366934767,0.23095703125,0.00025,0.02197498,-51.499407625198366,1.0128744840621948,50.8391227722168,34.85284912586212,0.2,50,0.3151966333389282
84,14336,0.781119,7,169,-0.017957684099383187,0.20869140625,0.00025,0.026270498,-51.583053016662596,1.0157513618469238,10.88260555267334,43.76850918531418,0.2,60,0.5069452524185181
97,16384,-0.18143262,8,168,-0.018229559881729075,0.188720703125,0.00025,0.017184492,-51.65268683433533,1.0164960622787476,15.614130973815918,50.28751393556595,0.2,70,0.48867565393447876
108,18432,0.8159259,9,170,-0.012877365262829699,0.2068359375,0.00025,0.017547123,-51.69812839031219,1.0184640884399414,33.62210464477539,51.798728483915326,0.2,80,0.5009709596633911
119,20480,-0.25075072,10,171,-0.011883757392934059,0.328857421875,0.00025,0.027773697,-51.80412745475769,1.0217785835266113,5.095091342926025,6.273089937120676,0.2,90,0.47579503059387207
